x,y
0.7400000000000002,3.120000000000001
0.7401290493408473,2.8200000391152673
0.7400002820649227,2.520000116370046
0.7370890199300297,2.220115236017602
0.7067791049296392,1.9216699183508843
0.6941537766499527,1.6227459639579562
0.6960439380086909,1.3227610775920673
0.694444311374834,1.0227656135542171
0.6920347747029075,0.722775308933542
0.6900107974904472,0.42278242057618626
0.6899930271432585,0.12278262488153191
0.6900425329612003,-0.1772121806917163
0.6721264437127155,-0.4766278252813327
0.6406443305589633,-0.7749460837197896
0.5970574026149938,-1.0717554135781098
0.5919617894008472,-1.3712412800722682
0.5906732891717523,-1.671237374014125
0.5899781094433478,-1.971235102223614
0.5900245693452558,-2.271235038267944
0.5844421577399915,-2.5711128511614874
0.5669528432544964,-2.870601169539598
0.548268281168041,-3.1700187045179575
0.540029401301908,-3.4697930939960933
0.5398626408930295,-3.7697927071196453
0.5262260182481199,-4.069267926341608
0.49983661791458006,-4.368104875172573
0.47365697160593273,-4.666959755621233
0.43355436297453126,-4.964167928870214
0.37258154129111093,-5.257879420603315
0.30333046889250015,-5.549773724990579
0.23071364748360773,-5.840851348003062
0.15563482567200856,-6.131303839420189
0.07785255400319742,-6.421043347356908
-0.004111312748035134,-6.709623911244087
-0.09945414210509142,-6.993914257457754
-0.3518444629391943,-7.080481654791246
-0.6518419141434252,-7.079998904117293
-0.9518417584980926,-7.080100843441407
-1.250987643770917,-7.068325534152103
-1.5425775800734842,-6.998284444953211
-1.8274340250033863,-6.904586572597053
-2.0889822241288374,-6.759427356717056
-2.321425745599412,-6.569943858152681
-2.52969108498179,-6.35474825918713
-2.65840673523465,-6.0859806063197
-2.702853402264312,-5.7897066013327665
-2.713195252390493,-5.489957486416532
-2.6988522550013196,-5.1904886552217615
-2.6193889822292595,-4.902205389259948
-2.4887638379529724,-4.63224984119466
-2.343251452271343,-4.369922636237687
-2.184709446600825,-4.115351575217634
-2.0175265136786447,-3.866313390989273
-1.8707785241581592,-3.6047609290818547
-1.744150691905959,-3.332842432008645
-1.6296819246948724,-3.0555568942022697
-1.5251840963898837,-2.774366762310805
-1.4312378154369054,-2.489463968031037
-1.3252081095476904,-2.208868802134751
-1.25857745943658,-1.917004906173942
-1.2486960488218517,-1.6173793232625548
-1.2601705109403223,-1.3176142662644896
-1.25942559759745,-1.0176350153950666
-1.3068218493194423,-0.723337483840863
-1.4090892763960565,-0.44136851522426446
-1.522224450057447,-0.1635255525965695
-1.6396404756009797,0.11254087230906183
-1.7590353324309953,0.38775850745139095
-1.8785787493374995,0.6629117792985598
-1.9964885604664588,0.9387675221661057
-2.108810884926989,1.216934581747514
-2.210884497696424,1.4990074975099976
-2.3000432528809958,1.785430031543153
-2.379445468637271,2.074722011498617
-2.4524554627152555,2.3656976715449836
-2.5201252809435086,2.6579616692525576
-2.581792087833337,2.9515484127060905
-2.6347206618199817,3.2468240792292575
-2.675637458053545,3.5440011420704733
-2.712309174265394,3.841691698354722
-2.625869513009008,4.128050407795583
-2.5242063836611663,4.410292753892459
-2.414440668092787,4.689470792674272
-2.288514752817164,4.961649382836565
-2.121839190339136,5.210021975171272
-1.855775087873372,5.316413845078415
-1.5615656474133777,5.269907011570444
-1.2619034911953517,5.264826348894511
-0.9672029701903753,5.209103238527555
-0.6778654956817918,5.130263604396377
-0.3988388176638269,5.020537553293586
-0.138134134806051,4.8728806027141625
