x,y
0.7400000000000002,3.120000000000001
0.7400000000000002,2.820000000000001
0.7400000000000002,2.520000000000001
0.7400000000000002,2.220000000000001
0.7068705421775463,1.9218348795979152
0.6900000000000004,1.6227692569068717
0.6900000000000004,1.3227692569068719
0.6900000000000004,1.0227692569068716
0.6900000000000004,0.7227692569068718
0.6900000000000004,0.42276925690687195
0.6900000000000004,0.12276925690687168
0.6900000000000004,-0.17723074309312814
0.6676167802294175,-0.4762154174764084
0.6404560564166615,-0.7749833794167199
0.5982859760248925,-1.071998167825751
0.5899999999999999,-1.371409301640492
0.5899999999999999,-1.6714093016404918
0.5899999999999999,-1.9714093016404917
0.5899999999999999,-2.2714093016404915
0.5700017047774306,-2.5699880665579844
0.54,-2.8678559110472186
0.54,-3.1678559110472184
0.54,-3.4678559110472182
0.54,-3.767855911047218
0.5229923249448432,-4.067084425606725
0.4958316011320877,-4.365852387547037
0.4759294424594842,-4.664423345243096
0.4266097462678768,-4.9603415223927385
0.37978221039177856,-5.256633422061658
0.3401330943644735,-5.5540017922664475
0.3004839783371681,-5.851370162471239
0.20958642531983934,-6.135501357515966
0.10026662074568535,-6.4148741914276926
-0.009053183828468647,-6.694247025339419
-0.118372988402622,-6.973619859251144
-0.34576540611410844,-7.08
-0.6457654061141033,-7.08
-0.9457654061140996,-7.08
-1.244598475465942,-7.0659002540890095
-1.5374384368210467,-7.004187187726318
-1.81849510322622,-6.90075244838689
-2.0849526200013777,-6.7633649199990815
-2.3158621958998604,-6.57413780410014
-2.5213805504699844,-6.357238899060031
-2.6555446291199716,-6.088910741760057
-2.71,-5.794913487832355
-2.71,-5.494913487832356
-2.6835073553243842,-5.197536776621922
-2.616310715066627,-4.905242860266507
-2.5223774736541453,-4.623566210481218
-2.355967414786576,-4.3739511221798635
-2.189557355919008,-4.124336033878512
-2.0231472970514393,-3.8747209455771583
-1.8788404295248113,-3.6124875973037573
-1.753122976286287,-3.3400997819536213
-1.6274055230477629,-3.0677119666034858
-1.5282661464223002,-2.784798439266899
-1.4333978166172494,-2.5001934498517473
-1.3385294868121975,-2.215588460436592
-1.2599999999999998,-1.926373440083161
-1.2599999999999998,-1.6263734400831615
-1.2599999999999998,-1.3263734400831613
-1.2599999999999998,-1.0263734400831677
-1.3356250058111712,-0.7409374854720714
-1.4470422087174026,-0.46239447820649276
-1.558459411623634,-0.18385147094091414
-1.6698766145298656,0.09469153632466454
-1.778131032216239,0.37439309664871684
-1.878383874072707,0.6567677481454149
-2.0118016746483605,0.9254050239450821
-2.106670004453413,1.2100100133602383
-2.2015383342584647,1.4946150027753937
-2.296406664063515,1.7792199921905458
-2.375408365619112,2.068551789352627
-2.4517563554030057,2.3586741505314217
-2.528104345186899,2.6487965117102172
-2.586559822629139,2.9426388470894027
-2.6321769779053206,3.2391503563845845
-2.6765495005049735,3.5358465035348154
-2.71,3.833469249729898
-2.6307195109620105,4.118201222594974
-2.5193023080557793,4.396744229860552
-2.4078851051495493,4.675287237126127
-2.2984778339479988,4.954566498156003
-2.203609504142948,5.2391714875711575
-2.001053129091163,5.338210625818233
-1.7068789263838853,5.279375785276778
-1.4078073120815482,5.270000000000001
-1.1114314673993944,5.2369847705331996
-0.8185753493442087,5.171905633187602
-0.5337287521694399,5.0779095840564805
-0.2640435247908338,4.947021762395417
-0.01833799807040215,4.776253498552803
